60.4,24.6,,7.8,7.2,,,,,86.5,77.7,,86.1,93.8,0.9,80.1,28.6,63.4,44.5,3.35
40.6,48.7,9.8,,0.2,0.6,,,90.7,87.5,,86.4,81.3,93.8,1.3,69.4,25.4,56.1,45.8,2.63
53.1,,39.5,6.4,1,,,,,88.2,80.9,92.4,,97.6,1.6,71.9,34.8,70.3,44.5,3.5
91.5,8.6,,,,,,,,,,,82.9,95.1,,71.7,28.9,65.4,47.5,2.14
96.8,3.2,,,,,,,,,,,88.8,93,0.5,75.4,29.9,70,55,2.54
50.7,19.3,,9.1,20.9,,,,,88.5,73.6,,86.9,91.8,0.1,74.8,33.3,69.1,39.9,3.27
58.5,35.6,2.6,,3.3,,,,,90.4,,92.5,86,96.4,0.6,77.8,31.7,70.8,44.7,2.74
61.4,13.2,,5.4,20,,,,,88.4,81.2,,84.8,98.5,0.2,69.2,31.5,69.9,50.7,2.85
50.7,33.3,,15.6,0.4,,,,,87.4,73.2,,87.9,93.1,0.2,70.2,34.4,67.6,51.5,2.41
69.8,29.5,,,0.7,,,,,81.3,,,75.2,90.2,2.3,80.7,27,63.4,46.9,3.61
63.3,13.6,,20.1,3.1,,,,,88.2,81.4,,88.9,94.3,0.9,79,35.3,70.5,40.9,3.05
58.9,16.5,,1,11.7,11.9,,,82.9,82.2,78.7,,81.4,87.5,,77.2,25,67.2,49.1,3.26
55.4,43.7,,,1,,,,,78.2,,,79.5,87.3,1.5,72.9,37.6,64.7,42.3,2.66
60.5,4.8,,,34.7,,,,,84.6,,,86.6,92.5,0.6,72.2,28.2,69.4,44.8,2.87
51.5,23.5,,8.5,16.5,,,,,88.9,82.6,,90.9,95.7,0.4,71.4,38.3,69.2,44.4,2.89
75.9,24.1,,,,,,,,,,,83.4,94.6,1.8,82,25.3,61.2,51.2,3.57
51.7,38.9,0.3,,9,0.1,,,85,83.4,,88,84.7,91.2,13.4,72.2,29.9,68.4,49,3.23
56,38.9,,3.1,2,,,,,84.9,83.5,,84.2,94.8,1.4,68.2,30.2,60,49.1,2.59
75.6,,2.9,21.4,0.1,,,,,89,82.7,90.5,,96.4,0.4,78.8,28.5,64.7,51.6,3.19
73,23.5,,,3.5,,,,,86.6,,,85.9,91.1,1,77.2,35.9,64.6,39.4,2.96
63,21.6,15.4,,,,,,,,,90.5,83.2,92.9,1.4,76.7,29.8,71.7,51.6,3.04
65.2,,,32.2,2.5,,,,,86.9,78.4,,,93.9,1.7,75.2,24,59.5,44.1,3.41
77,5.8,,8.2,8.6,0.5,,,87.4,85,84.5,,85.5,95.6,5.3,72,30.8,72.1,48.2,3.09
66.3,28.7,,,5,,,,,86.1,,,86.2,93.4,0.7,73.2,29.7,69.7,42.5,3.37
68.2,18.8,,12.9,0.1,,,,,88,79.3,,86.3,93.6,0.7,74.7,31.1,67,37.2,3.66
49.1,,23.7,14.1,10.6,2.5,,,85.1,80.3,77.4,87.5,,91.9,,78.5,30.7,60.5,42,3.59
93.8,2.8,,,3.5,,,,,80.8,,,83.6,88.2,2.4,88.1,14.3,58.3,61.5,3.57
58.9,28.1,,0.8,3.8,8.3,,,84.5,83.8,81.5,,84.6,90.7,4.4,67.8,23.3,70.5,53.6,2.83
61.4,38.5,,,0.1,,,,,83,,,77.4,90.3,1,73.1,31.1,58.2,40.7,3.29
49.3,,41.8,3.8,5.2,,,,,84.3,80.3,88,,93.2,0.9,73.7,30.9,61.4,50.7,2.79
7.1,,92.9,,,,,,,,,91.3,,91.7,1.5,83,35.7,61.3,42.9,2.18
50.7,,29.1,15.4,4.8,,,,,89,80.7,90.3,,94.6,0.2,76.3,34.2,63,44.1,2.75
55.4,29.4,,14.3,0.9,,,,,88,74.1,,87.6,93,,72.9,36.5,68.6,49.7,2.09
71.7,,,28.3,,,,,,,80.5,,,97.4,1.2,67.7,28.8,61.9,44.6,2.71
78.9,20.3,,0.2,0.6,,,,,88.8,83,,87.9,97.9,3,68.4,25.4,72.9,55.5,2.28
48.5,45.2,1,,5.3,,,,,82.2,,88.9,82.7,88.4,1,71.1,35.6,63.2,49.9,2.66
73.9,8.1,,7.1,10.9,,,,,85.5,69.4,,82,91.9,1.5,79.7,29.3,64.8,48.3,2.52
70.5,26,,,3.4,,,,,86.7,,,85.2,95.1,1.1,75.1,33.4,68.7,47.2,2.61
66.4,2.7,,30.8,0.1,,,,,79,75.4,,82.1,89.9,3.1,79,25.2,63.4,47.1,3.25
56.8,33.2,0.1,0.3,9.6,,,,,81.1,75,83,81.7,87.5,2.4,79.2,15,73,54.6,3.78
33.5,61.8,,,4.8,,,,,82.1,,,77.6,87.7,0.7,65.6,39.8,53.9,42.3,2.24
49.6,39.5,,6.2,,4.7,,,86,,77.9,,86.7,94.9,1.2,64.4,36.9,60.9,44.1,2.21
79.1,16.9,,3.4,0.7,,,,,84.2,77.6,,76.4,91.4,4.9,82.8,22.1,65.3,53.2,3.57
15.1,,85,,,,,,,,,91.1,,92.2,1.9,83,39.4,67.3,40,3.04
56.6,,43.4,,,,,,,,,93.2,,93.8,1.9,81.1,34.4,69.2,54.1,3.18
61.9,38.1,,,,,,,,,,,86,96.5,0.7,70.7,32.4,72.5,46,2.8
61.8,1.4,,17.5,19.3,,,,,81.9,73.8,,82.4,89.1,6.9,81.5,24.9,67.9,52.1,3.92
70.6,29.4,,,,,,,,,,,80.3,88.7,1.1,82.8,30.9,62.8,47.9,2.42
60.9,4.1,35,,,,,,,,,89.2,86.2,95.9,1.8,76.2,26.6,65.5,42.8,2.45
62.8,,25.5,2.8,9,,,,,78.8,74.3,85.4,,89.9,,83.3,33.5,70.1,40.5,4.23
70.4,5.7,,17.3,6.6,,,,,82.5,80.3,,81.7,90.4,0.6,77.8,14.4,67.4,61.9,3.03
